time(ms),amplitude
0.0,0.0
0.5,6.345075154020505
1.0,5.815065763529522
1.5,1.4444824043272497
2.0,0.0515943710930342
2.5,1.6618593626414926
3.0,1.8526872199838822
3.5,0.32439185667261805
4.0,0.10508451844610818
4.500000000000001,1.134968658728683
5.0,1.0025222743601252
5.5,0.012419988866466447
6.0,0.16279784041877138
6.500000000000001,0.9253652391422609
7.0,0.5861364252891105
7.5,-0.14104067184829971
8.0,0.22818154097911944
8.5,0.8050776825449402
9.000000000000002,0.2968935675185023
9.5,-0.2413548524472825
10.0,0.307313081658492
10.5,0.7159686987318155
11.0,0.03448718792201157
11.5,-0.3262331960869813
12.0,0.4131194416808369
12.5,0.6283150398386391
13.000000000000002,-0.2794824427969264
13.5,-0.4258182140826424
14.0,0.5810298583144053
14.5,0.5014206173009071
15.0,-0.8179789428458644
15.5,-0.6128040242436417
16.0,0.9636625769923384
16.5,0.16077148952729814
17.0,-2.6717221105895064
17.5,-1.573357420140363
18.000000000000004,5.015901926480545
18.5,9.70925926487905
19.0,6.761788506812176
19.5,0.833721188613219
20.0,-0.7293437989851238
20.5,1.3454495861048281
21.0,1.7758111281057385
21.5,0.1716559263349886
22.0,-0.07638325935286264
22.5,1.0854247830562702
23.0,1.0509220006465163
23.5,0.03684609581389986
24.0,0.17332458541631252
24.5,1.008784273963868
25.0,0.7331538290775061
25.500000000000004,-0.005994072570805753
26.000000000000004,0.35463646756064476
26.5,0.9892297927654239
27.0,0.5373975268751222
27.5,-0.006838421149593321
28.0,0.5368256317915345
28.5,1.0058195438382038
29.0,0.3892362379481328
29.500000000000004,0.028451509036532485
30.0,0.7669342158735939
30.5,1.063937073575381
31.0,0.2533863714405882
31.5,0.11796504171810085
32.0,1.1312891611997986
32.5,1.2020747187527743
33.0,0.08924370512224349
33.5,0.3424751591714781
34.0,1.9423741008528859
34.5,1.6126534485438062
35.0,-0.26963834627099276
35.50000000000001,1.3245554933734471
36.00000000000001,6.866029383391206
36.5,9.107669474473795
37.0,3.8378903913113693
37.5,-2.831951230073474
38.0,-3.5896265931122757
38.5,-0.37350875471681366
39.0,0.5998820611163053
39.5,-0.9655956152836043
40.0,-1.153623553713911
40.5,0.23025773905073488
41.0,0.3549682676863335
41.5,-0.6510404188943251
42.0,-0.5026943377088804
42.5,0.43212307322407284
43.0,0.23883463353047468
43.50000000000001,-0.5028591120077932
44.0,-0.1444124751132851
44.5,0.5529467350858701
45.0,0.15838444032455398
45.5,-0.3949218006266688
46.0,0.13808913986570745
46.5,0.6577763420688427
47.0,0.09203323183028421
47.5,-0.28482765811551425
48.0,0.43309702498486624
48.5,0.7823541490227788
49.0,0.03082102402481513
49.5,-0.1330621324324186
50.0,0.8390996311772958
50.5,0.9823064702076689
51.00000000000001,-0.03256278555184586
51.50000000000001,0.15598713611028847
52.00000000000001,1.6350720346065966
52.5,1.4571486016642705
53.0,-0.11725266016364427
53.5,1.1268956067938056
54.0,5.035492219079732
54.5,5.006789402374178
55.0,-1.5564936489505832
55.5,-7.570037488207061
56.0,-6.416861140356999
56.5,-1.58096433252723
57.0,-0.07148930014170408
57.5,-1.7515826069665326
58.0,-1.9759551424497648
58.5,-0.409697959917356
59.00000000000001,-0.1690014375795461
59.50000000000001,-1.2229604763309394
60.0,-1.1083157351155877
60.5,-0.10524829800747759
61.0,-0.24645423299894118
61.5,-1.024236529153212
62.0,-0.6985882747825459
62.5,0.034971653548592
63.0,-0.32922827574496627
63.5,-0.9197619709243793
64.0,-0.42529831815297353
64.5,0.11615963451488853
65.0,-0.42981530058495837
65.5,-0.854315514130752
66.0,-0.190317238907712
66.5,0.1709150777180617
67.0,-0.567912554148231
67.5,-0.8064003940699358
68.0,0.07317404974444841
68.5,0.21557416071878066
69.0,-0.7943450549168908
69.5,-0.7605391312380514
70.0,0.494820493342472
70.5,0.27047720051070756
71.00000000000001,-1.3201619889413407
71.50000000000001,-0.6764987239157096
72.00000000000001,1.821128820165649
72.5,0.47356358048081393
73.0,-5.931600070006255
73.5,-9.984380807564829
74.0,-6.338064261179258
74.5,-0.087922777575552
75.0,1.366025403784455
75.5,-0.9563676481684321
76.0,-1.5131669405621424
76.5,0.08471373615571498
77.0,0.3195743432171424
77.5,-0.8989590798589584
78.0,-0.9060530654256118
78.5,0.10585801325605804
79.0,-0.03399980569123627
79.5,-0.8966604766249611
80.0,-0.6440357231418921
80.5,0.09491365810139074
81.0,-0.2661497799894856
81.5,-0.9191983231462602
82.0,-0.4846181124275935
82.5,0.06044081771548604
83.0,-0.48216953457041656
83.5,-0.9675015692396789
84.0,-0.36772854157671986
84.5,-0.005398870417541168
85.0,-0.7414959237610359
85.5,-1.0573362963073514
86.0,-0.268424474602728
86.50000000000001,-0.13061548139852985
87.00000000000001,-1.1389945486738628
87.50000000000001,-1.2393892113295435
88.0,-0.1663028477756634
88.5,-0.41486496781158566
89.0,-1.9977505815976024
89.5,-1.7417329734820395
90.0,-2.695148507637502e-15
90.5,-1.5581251998411019
91.0,-6.66728796769569
91.5,-8.218511712871608
92.0,-2.4550214833447694
92.5,4.1831366986488945
93.0,4.51055510104686
