Time (ms),Amplitude
0.0,-0.26
2.7777777777777777,-0.26
5.555555555555555,-0.26
8.333333333333334,-0.26
11.11111111111111,-0.26
13.888888888888888,-0.26
16.666666666666668,-0.26
19.444444444444446,-0.26
22.22222222222222,-0.26
25.0,-0.25
27.77777777777777,-0.24
30.555555555555557,-0.225
33.333333333333336,-0.21
36.11111111111111,-0.2
38.88888888888889,-0.2
41.66666666666666,-0.2
44.44444444444444,-0.18
47.22222222222222,-0.17
50.0,-0.155
52.77777777777778,-0.165
55.55555555555555,-0.17
58.333333333333336,-0.175
61.11111111111111,-0.17
63.888888888888886,-0.165
66.66666666666667,-0.16
69.44444444444444,-0.17
72.22222222222221,-0.175
75.0,-0.185
77.77777777777779,-0.175
80.55555555555556,-0.17
83.33333333333333,-0.165
86.11111111111111,-0.175
88.88888888888889,-0.2
91.66666666666666,-0.205
94.44444444444444,-0.21
97.22222222222224,-0.21
100.0,-0.21
102.77777777777776,-0.225
105.55555555555556,-0.24
108.33333333333334,-0.25
111.1111111111111,-0.245
113.88888888888889,-0.245
116.66666666666669,-0.25
119.44444444444446,-0.255
122.2222222222222,-0.27
125.0,-0.29
127.77777777777776,-0.305
130.55555555555557,-0.31
133.33333333333334,-0.305
136.1111111111111,-0.305
138.88888888888889,-0.31
141.66666666666666,-0.31
144.44444444444443,-0.31
147.22222222222223,-0.295
150.0,-0.3
152.7777777777778,-0.32
155.55555555555557,-0.325
158.33333333333331,-0.325
161.11111111111111,-0.32
163.88888888888889,-0.305
166.66666666666666,-0.29
169.44444444444446,-0.295
172.22222222222223,-0.29
175.0,-0.305
177.77777777777777,-0.295
180.55555555555557,-0.285
183.3333333333333,-0.295
186.11111111111111,-0.295
188.88888888888889,-0.3
191.66666666666669,-0.305
194.44444444444449,-0.285
197.22222222222223,-0.285
200.0,-0.28
202.77777777777777,-0.285
205.55555555555557,-0.29
208.33333333333331,-0.295
211.11111111111111,-0.295
213.88888888888889,-0.28
216.66666666666669,-0.275
219.44444444444443,-0.265
222.2222222222222,-0.255
225.0,-0.26
227.77777777777777,-0.245
230.5555555555556,-0.235
233.33333333333331,-0.235
236.11111111111111,-0.24
238.8888888888889,-0.24
241.66666666666663,-0.255
244.44444444444443,-0.25
247.22222222222223,-0.245
250.0,-0.245
252.77777777777777,-0.255
255.55555555555557,-0.26
258.33333333333337,-0.265
261.11111111111114,-0.26
263.8888888888889,-0.27
266.6666666666667,-0.275
269.44444444444446,-0.29
272.2222222222222,-0.3
275.0,-0.305
277.77777777777777,-0.31
280.55555555555554,-0.305
283.3333333333333,-0.29
286.1111111111111,-0.285
288.88888888888886,-0.3
291.6666666666667,-0.3
294.44444444444446,-0.295
297.22222222222223,-0.285
300.0,-0.285
302.77777777777777,-0.28
305.5555555555556,-0.29
308.33333333333337,-0.305
311.11111111111114,-0.3
313.88888888888886,-0.3
316.66666666666663,-0.305
319.4444444444444,-0.315
322.22222222222223,-0.335
325.0,-0.345
327.77777777777777,-0.34
330.55555555555554,-0.33
333.3333333333333,-0.325
336.11111111111114,-0.325
338.8888888888889,-0.33
341.6666666666667,-0.325
344.44444444444446,-0.315
347.22222222222223,-0.3
350.0,-0.305
352.7777777777778,-0.315
355.55555555555554,-0.335
358.3333333333333,-0.335
361.1111111111111,-0.325
363.88888888888886,-0.31
366.6666666666666,-0.305
369.44444444444446,-0.32
372.22222222222223,-0.33
375.0,-0.33
377.77777777777777,-0.31
380.55555555555554,-0.305
383.33333333333337,-0.31
386.1111111111112,-0.32
388.8888888888889,-0.335
391.6666666666667,-0.33
394.44444444444446,-0.315
397.2222222222222,-0.305
400.0,-0.265
402.77777777777777,-0.24
405.55555555555554,-0.21
408.3333333333333,-0.19
411.1111111111111,-0.17
413.88888888888886,-0.13
416.6666666666667,-0.08
419.44444444444446,0.005
422.22222222222223,0.1
425.0,0.185
427.77777777777777,0.305
430.5555555555556,0.43
433.33333333333337,0.58
436.1111111111112,0.705
438.88888888888886,0.765
441.6666666666666,0.835
444.4444444444444,0.89
447.22222222222223,0.87
450.0,0.75
452.77777777777777,0.575
455.55555555555554,0.375
458.3333333333333,0.15
461.1111111111112,-0.03
463.8888888888889,-0.13
466.6666666666667,-0.18
469.44444444444446,-0.22
472.22222222222223,-0.23
475.0,-0.235
477.7777777777778,-0.215
480.55555555555554,-0.215
483.3333333333333,-0.22
486.1111111111111,-0.235
488.88888888888886,-0.255
491.6666666666666,-0.265
494.44444444444446,-0.275
497.22222222222223,-0.275
500.0,-0.295
502.77777777777777,-0.3
505.55555555555554,-0.305
508.3333333333333,-0.31
511.1111111111111,-0.3
513.8888888888888,-0.315
516.6666666666667,-0.325
519.4444444444445,-0.345
522.2222222222223,-0.335
525.0,-0.34
527.7777777777778,-0.32
530.5555555555555,-0.295
533.3333333333334,-0.285
536.1111111111111,-0.295
538.8888888888889,-0.315
541.6666666666666,-0.32
544.4444444444443,-0.325
547.2222222222223,-0.325
550.0,-0.325
552.7777777777778,-0.335
555.5555555555555,-0.325
558.3333333333334,-0.335
561.1111111111111,-0.32
563.8888888888889,-0.32
566.6666666666666,-0.31
569.4444444444445,-0.31
572.2222222222222,-0.3
575.0,-0.28
577.7777777777777,-0.255
580.5555555555557,-0.235
583.3333333333334,-0.21
586.1111111111111,-0.205
588.8888888888889,-0.2
591.6666666666666,-0.205
594.4444444444445,-0.215
597.2222222222222,-0.195
600.0,-0.195
602.7777777777777,-0.205
605.5555555555555,-0.21
608.3333333333333,-0.215
611.1111111111112,-0.21
613.8888888888889,-0.195
616.6666666666667,-0.175
619.4444444444445,-0.165
622.2222222222223,-0.175
625.0,-0.165
627.7777777777777,-0.16
630.5555555555555,-0.16
633.3333333333333,-0.16
636.1111111111111,-0.165
638.8888888888888,-0.17
641.6666666666667,-0.185
644.4444444444445,-0.2
647.2222222222223,-0.19
650.0,-0.18
652.7777777777778,-0.175
655.5555555555555,-0.165
658.3333333333334,-0.175
661.1111111111111,-0.17
663.8888888888889,-0.165
666.6666666666666,-0.17
669.4444444444443,-0.175
672.2222222222223,-0.19
675.0,-0.195
677.7777777777778,-0.205
680.5555555555555,-0.195
683.3333333333334,-0.21
686.1111111111111,-0.205
688.8888888888889,-0.215
691.6666666666666,-0.225
694.4444444444445,-0.225
697.2222222222222,-0.22
700.0,-0.23
702.7777777777777,-0.25
705.5555555555557,-0.265
708.3333333333334,-0.29
711.1111111111111,-0.285
713.8888888888889,-0.275
716.6666666666666,-0.275
719.4444444444445,-0.3
722.2222222222222,-0.33
725.0,-0.335
727.7777777777777,-0.31
730.5555555555555,-0.28
733.3333333333333,-0.265
736.1111111111112,-0.255
738.8888888888889,-0.25
741.6666666666667,-0.255
744.4444444444445,-0.27
747.2222222222223,-0.26
750.0,-0.25
752.7777777777777,-0.24
755.5555555555555,-0.24
758.3333333333333,-0.24
761.1111111111111,-0.215
763.8888888888888,-0.215
766.6666666666667,-0.22
769.4444444444445,-0.235
772.2222222222223,-0.24
775.0,-0.26
777.7777777777778,-0.255
780.5555555555555,-0.255
783.3333333333334,-0.26
786.1111111111111,-0.255
788.8888888888889,-0.26
791.6666666666666,-0.265
794.4444444444443,-0.255
797.2222222222223,-0.255
800.0,-0.265
802.7777777777778,-0.27
805.5555555555555,-0.275
808.3333333333334,-0.28
811.1111111111111,-0.265
813.8888888888889,-0.27
816.6666666666666,-0.265
819.4444444444445,-0.275
822.2222222222222,-0.275
825.0,-0.29
827.7777777777777,-0.295
830.5555555555557,-0.3
